timestamp,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,control_steer
18155921.55,0.013204584,4.809317112,0.070566237,-0.000509101,4.45E-05,-0.000109615,-1.08E-06
18155921.61,0.013191663,4.804492474,0.07052619,-0.031380299,2.69E-05,-0.000111273,-1.08E-06
18155921.68,0.013175556,4.798242569,0.070654988,-0.040612426,9.70E-05,-0.000110117,-1.08E-06
18155921.74,0.013146867,4.791053772,0.070844062,-0.046604659,0.000198361,0.000169799,2.38E-06
18155921.82,0.013124653,4.781557083,0.071826354,-0.047756083,0.000115422,3.16E-05,-3.46E-09
18155921.88,0.013100885,4.772861481,0.069230653,-0.033692397,1.97E-05,3.88E-06,-3.46E-09
18155921.95,0.013085239,4.767141342,0.069346674,-0.020109698,1.97E-05,5.57E-07,-3.46E-09
18155922.01,0.013071031,4.761959076,0.068989553,-0.00868001,3.12E-06,-2.46E-07,-3.46E-09
18155922.07,0.013058928,4.75762701,0.07040865,-0.001158837,-4.74E-05,-1.01E-06,-3.46E-09
18155922.21,0.01304802,4.753600121,0.069825135,0.003577796,-3.83E-05,-5.64E-07,-3.46E-09
18155922.31,0.013031337,4.74735117,0.068721339,0.007204967,-4.31E-05,-8.32E-07,-3.46E-09
18155922.38,0.013016046,4.741718769,0.069687895,0.007824195,-9.91E-06,-2.33E-07,-3.46E-09
18155922.48,-0.001659171,4.736592293,0.090252556,0.558636248,-1.394648194,-0.025727516,-3.46E-09
18155922.53,0.0185664,4.732699394,0.052881975,-0.431625009,0.938783407,0.017885219,-3.46E-09
18155922.63,0.019866867,4.730167866,0.06137161,-0.252092272,0.577929795,0.009187561,-3.46E-09
18155922.77,0.031085953,4.743374348,0.080819331,0.429680735,1.447288036,0.0235218,-3.46E-09
18155922.86,0.007578258,4.769483566,0.050911903,-0.415195823,-0.892214715,-0.017678306,-3.46E-09
18155922.93,0.007148322,4.782950401,0.062467977,-0.163898006,-0.474733502,-0.007104884,-3.46E-09
18155923,0.009214977,4.791571617,0.068735681,-0.07000868,-0.296475857,-0.003902455,-3.46E-09
18155923.08,0.01070562,4.798676491,0.069911391,-0.029549697,-0.180493221,-0.00222405,-3.46E-09
18155923.14,0.004858058,4.806407928,0.077223636,-0.46249488,-0.669762313,-0.00868313,-3.46E-09
18155923.19,0.01475354,4.811062336,0.06282074,0.404358745,0.370755643,0.008387454,-3.46E-09
18155923.25,0.015837796,4.814185143,0.066784464,0.262546033,0.246777683,0.004690429,-3.46E-09
18155923.32,0.021475833,4.819266319,0.080758266,-0.591742933,1.068780303,0.016291695,-3.46E-09
18155923.43,0.020760318,4.827496529,0.077225946,-0.266293377,0.571446896,0.006803357,-3.46E-06
18155923.5,0.010046151,4.814964771,0.058498796,0.127009273,-0.303940207,-0.005900302,-1.08E-06
18155923.57,0.010839539,4.793026447,0.0622002,-0.137680441,-0.17723833,-0.002484901,-1.08E-06
18155923.63,0.011629813,4.780728817,0.063819945,-0.208080113,-0.109920032,-0.001381471,-1.08E-06
18155923.72,0.01211707,4.770847321,0.062061246,-0.228810817,-0.069212362,-0.000584479,2.38E-06
18155923.77,0.012602323,4.756719112,0.062670842,-0.222679868,-0.030026063,-0.000279864,-3.93E-09
18155923.83,0.012756153,4.750964165,0.062338524,-0.210229203,-0.017525611,-0.000154451,-3.93E-09
18155923.89,0.012874323,4.745317936,0.065281458,-0.196058884,-0.007922117,-5.65E-05,-3.93E-09
18155923.97,0.012952381,4.739940166,0.063421361,-0.184158742,-0.001472653,6.86E-06,-3.93E-09
18155924.04,0.013008,4.732805252,0.062456641,-0.122520514,0.003148229,4.97E-05,-3.93E-09
18155924.1,0.01302016,4.728290081,0.060115784,-0.038329549,0.004374067,6.28E-05,-3.93E-09
18155924.18,0.013017557,4.72375536,0.059411649,0.004931229,0.004569337,6.21E-05,-3.93E-09
18155924.26,0.01300502,4.718837261,0.060821481,0.024752293,0.004252268,5.52E-05,-3.93E-09
18155924.32,0.012984105,4.713393688,0.060354345,0.029179044,0.003416238,4.28E-05,-3.93E-09
18155924.4,0.012968767,4.709849834,0.059829127,0.027265888,0.002890756,3.56E-05,-3.93E-09
18155924.47,0.014419164,4.706177711,0.05666212,-0.056673191,0.213764429,0.005461636,-3.93E-09
18155924.53,0.015102926,4.703229904,0.054179218,-0.151220694,0.16115731,-0.001653967,-3.93E-09
18155924.63,0.014536826,4.709000587,0.051683106,-0.170930028,0.098478824,-0.005014689,1.72E-06
18155924.69,0.013910423,4.739258289,0.050327115,-0.136877388,0.038771033,-0.00660227,5.33E-07
18155924.76,0.013724111,4.757243156,0.053214327,-0.145049691,0.019390084,-0.006781266,5.33E-07
18155924.82,0.013608586,4.774782181,0.052878022,-0.176655099,0.005306784,-0.00684565,5.33E-07
18155924.88,0.013577102,4.788486481,0.05090395,-0.206052467,-0.00187437,-0.006964917,5.33E-07
18155924.94,0.013590285,4.800715446,0.051825568,-0.229396239,-0.005377306,-0.007017326,5.33E-07
18155925,0.013625912,4.811325073,0.053184893,-0.244635969,-0.00663904,-0.006994717,5.33E-07
